------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <hlfsr_200.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
 12  12  10  16  12  14  19  12   7   9  0.445002    123/123     RandomExcursionsVariant
 11  17  11  12  12   8  15  12   9  16  0.697600    122/123     RandomExcursionsVariant
 12  15  11  15  10  16   9  19   4  12  0.144641    121/123     RandomExcursionsVariant
 15  13  12  18  10   9  11  13  17   5  0.258961    120/123     RandomExcursionsVariant
 13  13  13  14  11   9  16   7  13  14  0.811993    120/123     RandomExcursionsVariant
 11  13  15  14  12   6   9  10  10  23  0.072289    122/123     RandomExcursionsVariant
 14  10  16  16   8  11  12   7  14  15  0.542566    122/123     RandomExcursionsVariant
 16   9  15  16   9   8  12  13  13  12  0.697600    122/123     RandomExcursionsVariant
 13  14  11  13   9  17  15  13   8  10  0.748229    122/123     RandomExcursionsVariant
 12  15   8  13  12  15  17   8   9  14  0.593823    123/123     RandomExcursionsVariant
 13  13  12  12  11  11  15  14  11  11  0.996480    123/123     RandomExcursionsVariant
 10  14  12  17  11  12  10  15  15   7  0.663130    122/123     RandomExcursionsVariant
 11  13  10  15   8  17  10  14  10  15  0.697600    122/123     RandomExcursionsVariant
 15  22  20  23  20  26  17  14  23  20  0.699313    199/200     Serial
 19  23  17  19  18  20  25  21  21  17  0.964295    198/200     Serial
 26  24  11  18  16  16  25  16  24  24  0.207730    194/200     LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 193 for a
sample size = 200 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 118 for a sample size = 123 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
